Time,96.17.182.40,96.17.182.65,Akamai Bandwidth
0.5,0,0,0
1,76,0,76
1.5,1253,0,1253
2,68,0,68
2.5,0,0,0
3,1504,0,1504
3.5,1572,0,1572
4,0,0,0
4.5,3008,0,3008
5,1504,0,1504
5.5,4648,76,4724
6,3008,0,3008
6.5,4512,0,4512
7,4512,0,4512
7.5,6016,1148,7164
8,8956,0,8956
8.5,3970,602,4572
9,993,2407,3400
9.5,374,518,892
10,1022,1917,2939
10.5,374,1808,2182
11,0,0,0
11.5,0,0,0
12,0,0,0
12.5,0,68,68
13,0,0,0
13.5,0,0,0
14,0,0,0
14.5,68,204,272
15,0,0,0
15.5,136,136,272
